Reporter,Chromosome,LOD,AFD,Peak Position,Left Index,Right Index
ODC_TFT,2,9.76,0.099,69800,32850,107100
ODC_TFT,2,7.13,-0.121,418100,358850,462650
ODC_TFT,4,5.64,-0.101,85150,30400,127400
ODC_TFT,5,12.83,-0.149,291350,247700,325650
ODC_TFT,7,8.14,-0.150,20000,0,52800
ODC_TFT,7,28.74,0.225,409000,390050,431700
ODC_TFT,10,16.36,0.182,666850,649350,691550
ODC_TFT,12,8.13,0.111,768150,666200,846700
ODC_TFT,13,18.96,0.192,47800,25200,75850
ODC_TFT,13,7.96,0.127,410900,377350,450100
ODC_TFT,14,8.81,-0.110,441750,381400,501600
Rpn4_TFT,4,12.64,-0.133,240600,213200,309150
Rpn4_TFT,5,10.09,-0.127,259650,218250,294900
Rpn4_TFT,7,10.21,-0.148,88550,53550,141350
Rpn4_TFT,7,6.80,-0.111,882500,840650,926150
Rpn4_TFT,12,40.11,0.233,672850,661800,685750
Rpn4_TFT,14,16.58,0.145,544150,497300,574600
Rpn4_TFT,15,30.00,-0.224,167400,142600,186200
